
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/9/2025 11:50:20 AM;;
4/9/2025 11:50:23 AM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/9/2025 11:50:23 AM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/9/2025 11:50:23 AM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/9/2025 11:50:23 AM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/9/2025 11:50:23 AM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/9/2025 11:50:23 AM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/9/2025 11:50:23 AM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/9/2025 11:52:36 AM;TargetLandmark1_Billboard;(0.499, 0.372, 2.484);0.499;0.372;2.484;0.598;0.395;290.000
4/9/2025 11:52:36 AM;TargetLandmark2_LionStatue;(0.546, 0.807, 2.543);0.546;0.807;2.543;0.394;0.217;292.500
4/9/2025 11:52:36 AM;TargetLandmark3_GlobalLandmark1;(0.845, 0.625, 2.492);0.845;0.625;2.492;0.117;0.395;260.000
4/9/2025 11:52:36 AM;TargetLandmark4_GasStation;(0.833, 0.363, 2.531);0.833;0.363;2.531;0.307;0.677;295.000
4/9/2025 11:52:36 AM;TargetLandmark5_Church;(0.640, 0.129, 2.544);0.640;0.129;2.544;0.604;0.882;275.000
4/9/2025 11:52:36 AM;TargetLandmark6_GlobalLandmark2;(0.327, 0.172, 2.531);0.327;0.172;2.531;0.869;0.849;235.000
4/9/2025 11:52:36 AM;TargetLandmark7_MusicShop;(0.238, 0.579, 2.522);0.238;0.579;2.522;0.791;0.569;280.000
4/9/2025 11:52:37 AM;TargetLandmark1_Billboard;(0.499, 0.372, 2.484);0.499;0.372;2.484;0.598;0.395;290.000
4/9/2025 11:52:37 AM;TargetLandmark2_LionStatue;(0.546, 0.807, 2.543);0.546;0.807;2.543;0.394;0.217;292.500
4/9/2025 11:52:37 AM;TargetLandmark3_GlobalLandmark1;(0.845, 0.625, 2.492);0.845;0.625;2.492;0.117;0.395;260.000
4/9/2025 11:52:37 AM;TargetLandmark4_GasStation;(0.833, 0.363, 2.531);0.833;0.363;2.531;0.307;0.677;295.000
4/9/2025 11:52:37 AM;TargetLandmark5_Church;(0.640, 0.129, 2.544);0.640;0.129;2.544;0.604;0.882;275.000
4/9/2025 11:52:37 AM;TargetLandmark6_GlobalLandmark2;(0.327, 0.172, 2.531);0.327;0.172;2.531;0.869;0.849;235.000
4/9/2025 11:52:37 AM;TargetLandmark7_MusicShop;(0.238, 0.579, 2.522);0.238;0.579;2.522;0.791;0.569;280.000
