
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/11/2025 3:51:00 PM;;
4/11/2025 3:53:02 PM;TargetLandmark1_Billboard;(0.579, 0.640, 2.479);0.579;0.640;2.479;0.598;0.395;290.000
4/11/2025 3:53:02 PM;TargetLandmark2_LionStatue;(0.339, 0.376, 2.516);0.339;0.376;2.516;0.394;0.217;292.500
4/11/2025 3:53:02 PM;TargetLandmark3_GlobalLandmark1;(0.135, 0.550, 2.493);0.135;0.550;2.493;0.117;0.395;260.000
4/11/2025 3:53:02 PM;TargetLandmark4_GasStation;(0.217, 0.722, 2.471);0.217;0.722;2.471;0.307;0.677;295.000
4/11/2025 3:53:02 PM;TargetLandmark5_Church;(0.527, 0.862, 2.453);0.527;0.862;2.453;0.604;0.882;275.000
4/11/2025 3:53:02 PM;TargetLandmark6_GlobalLandmark2;(0.797, 0.818, 2.468);0.797;0.818;2.468;0.869;0.849;235.000
4/11/2025 3:53:02 PM;TargetLandmark7_MusicShop;(0.766, 0.506, 2.457);0.766;0.506;2.457;0.791;0.569;280.000
4/11/2025 3:53:03 PM;TargetLandmark1_Billboard;(0.579, 0.640, 2.479);0.579;0.640;2.479;0.598;0.395;290.000
4/11/2025 3:53:03 PM;TargetLandmark2_LionStatue;(0.339, 0.376, 2.516);0.339;0.376;2.516;0.394;0.217;292.500
4/11/2025 3:53:03 PM;TargetLandmark3_GlobalLandmark1;(0.135, 0.550, 2.493);0.135;0.550;2.493;0.117;0.395;260.000
4/11/2025 3:53:03 PM;TargetLandmark4_GasStation;(0.217, 0.722, 2.471);0.217;0.722;2.471;0.307;0.677;295.000
4/11/2025 3:53:03 PM;TargetLandmark5_Church;(0.527, 0.862, 2.453);0.527;0.862;2.453;0.604;0.882;275.000
4/11/2025 3:53:03 PM;TargetLandmark6_GlobalLandmark2;(0.797, 0.818, 2.468);0.797;0.818;2.468;0.869;0.849;235.000
4/11/2025 3:53:03 PM;TargetLandmark7_MusicShop;(0.766, 0.506, 2.457);0.766;0.506;2.457;0.791;0.569;280.000
