
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/23/2025 1:32:09 PM;;
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/23/2025 1:32:16 PM;;
4/23/2025 1:37:15 PM;TargetLandmark1_Billboard;(0.902, 0.113, 2.464);0.902;0.113;2.464;0.598;0.395;290.000
4/23/2025 1:37:15 PM;TargetLandmark2_LionStatue;(0.849, 0.392, 2.471);0.849;0.392;2.471;0.394;0.217;292.500
4/23/2025 1:37:15 PM;TargetLandmark3_GlobalLandmark1;(0.644, 0.510, 2.442);0.644;0.510;2.442;0.117;0.395;260.000
4/23/2025 1:37:15 PM;TargetLandmark4_GasStation;(0.476, 0.503, 2.472);0.476;0.503;2.472;0.307;0.677;295.000
4/23/2025 1:37:15 PM;TargetLandmark5_Church;(0.311, 0.774, 2.472);0.311;0.774;2.472;0.604;0.882;275.000
4/23/2025 1:37:15 PM;TargetLandmark6_GlobalLandmark2;(0.476, 0.691, 2.450);0.476;0.691;2.450;0.869;0.849;235.000
4/23/2025 1:37:15 PM;TargetLandmark7_MusicShop;(0.112, 0.903, 2.514);0.112;0.903;2.514;0.791;0.569;280.000
