
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/21/2025 9:30:14 AM;;
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/21/2025 9:30:21 AM;;
4/21/2025 9:33:24 AM;TargetLandmark1_Billboard;(0.454, 0.740, 2.499);0.454;0.740;2.499;0.598;0.395;290.000
4/21/2025 9:33:24 AM;TargetLandmark2_LionStatue;(0.214, 0.760, 2.411);0.214;0.760;2.411;0.394;0.217;292.500
4/21/2025 9:33:24 AM;TargetLandmark3_GlobalLandmark1;(0.732, 0.570, 2.467);0.732;0.570;2.467;0.117;0.395;260.000
4/21/2025 9:33:24 AM;TargetLandmark4_GasStation;(0.729, 0.727, 2.493);0.729;0.727;2.493;0.307;0.677;295.000
4/21/2025 9:33:24 AM;TargetLandmark5_Church;(0.190, 0.481, 2.524);0.190;0.481;2.524;0.604;0.882;275.000
4/21/2025 9:33:24 AM;TargetLandmark6_GlobalLandmark2;(0.316, 0.620, 2.528);0.316;0.620;2.528;0.869;0.849;235.000
4/21/2025 9:33:24 AM;TargetLandmark7_MusicShop;(0.467, 0.492, 2.538);0.467;0.492;2.538;0.791;0.569;280.000
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/21/2025 9:42:52 AM;;
4/21/2025 9:44:24 AM;TargetLandmark1_Billboard;(0.468, 0.307, 2.439);0.468;0.307;2.439;0.598;0.395;290.000
4/21/2025 9:44:24 AM;TargetLandmark2_LionStatue;(0.470, 0.475, 2.555);0.470;0.475;2.555;0.394;0.217;292.500
4/21/2025 9:44:24 AM;TargetLandmark3_GlobalLandmark1;(0.863, 0.629, 2.461);0.863;0.629;2.461;0.117;0.395;260.000
4/21/2025 9:44:24 AM;TargetLandmark4_GasStation;(0.906, 0.292, 2.448);0.906;0.292;2.448;0.307;0.677;295.000
4/21/2025 9:44:24 AM;TargetLandmark5_Church;(0.677, 0.285, 2.478);0.677;0.285;2.478;0.604;0.882;275.000
4/21/2025 9:44:24 AM;TargetLandmark6_GlobalLandmark2;(0.850, 0.842, 2.437);0.850;0.842;2.437;0.869;0.849;235.000
4/21/2025 9:44:24 AM;TargetLandmark7_MusicShop;(0.662, 0.688, 2.554);0.662;0.688;2.554;0.791;0.569;280.000
4/21/2025 9:44:25 AM;TargetLandmark1_Billboard;(0.468, 0.307, 2.439);0.468;0.307;2.439;0.598;0.395;290.000
4/21/2025 9:44:25 AM;TargetLandmark2_LionStatue;(0.470, 0.475, 2.555);0.470;0.475;2.555;0.394;0.217;292.500
4/21/2025 9:44:25 AM;TargetLandmark3_GlobalLandmark1;(0.863, 0.629, 2.461);0.863;0.629;2.461;0.117;0.395;260.000
4/21/2025 9:44:25 AM;TargetLandmark4_GasStation;(0.906, 0.292, 2.448);0.906;0.292;2.448;0.307;0.677;295.000
4/21/2025 9:44:25 AM;TargetLandmark5_Church;(0.677, 0.285, 2.478);0.677;0.285;2.478;0.604;0.882;275.000
4/21/2025 9:44:25 AM;TargetLandmark6_GlobalLandmark2;(0.850, 0.842, 2.437);0.850;0.842;2.437;0.869;0.849;235.000
4/21/2025 9:44:25 AM;TargetLandmark7_MusicShop;(0.662, 0.688, 2.554);0.662;0.688;2.554;0.791;0.569;280.000
