
Timestamp,DateTime,StimulusName,StimulusInterval
63880409324301,4/16/2025 2:08:44 PM,G,2.5
63880409326809,4/16/2025 2:08:46 PM,D,2.5
63880409329321,4/16/2025 2:08:49 PM,D,2.5
63880409331822,4/16/2025 2:08:51 PM,G,2.5
63880409334332,4/16/2025 2:08:54 PM,T,2.5
63880409336833,4/16/2025 2:08:56 PM,T,2.5
63880409339333,4/16/2025 2:08:59 PM,K,2.5
63880409341844,4/16/2025 2:09:01 PM,G,2.5
63880409344355,4/16/2025 2:09:04 PM,G,2.5
63880409346855,4/16/2025 2:09:06 PM,G,2.5
63880409349366,4/16/2025 2:09:09 PM,T,2.5
63880409351867,4/16/2025 2:09:11 PM,K,2.5
