
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/9/2025 4:26:59 PM;;
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/9/2025 4:27:16 PM;;
4/9/2025 4:27:20 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/9/2025 4:27:20 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/9/2025 4:27:20 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/9/2025 4:27:20 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/9/2025 4:27:20 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/9/2025 4:27:20 PM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/9/2025 4:27:20 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/9/2025 4:29:14 PM;TargetLandmark1_Billboard;(0.474, 0.366, 2.553);0.474;0.366;2.553;0.598;0.395;290.000
4/9/2025 4:29:14 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/9/2025 4:29:14 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/9/2025 4:29:14 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/9/2025 4:29:14 PM;TargetLandmark5_Church;(0.699, 0.553, 2.592);0.699;0.553;2.592;0.604;0.882;275.000
4/9/2025 4:29:14 PM;TargetLandmark6_GlobalLandmark2;(0.628, 0.299, 2.589);0.628;0.299;2.589;0.869;0.849;235.000
4/9/2025 4:29:14 PM;TargetLandmark7_MusicShop;(0.872, 0.437, 2.555);0.872;0.437;2.555;0.791;0.569;280.000
4/9/2025 4:29:35 PM;TargetLandmark1_Billboard;(0.474, 0.366, 2.553);0.474;0.366;2.553;0.598;0.395;290.000
4/9/2025 4:29:35 PM;TargetLandmark2_LionStatue;(0.764, 0.316, 2.580);0.764;0.316;2.580;0.394;0.217;292.500
4/9/2025 4:29:35 PM;TargetLandmark3_GlobalLandmark1;(0.707, 0.712, 2.601);0.707;0.712;2.601;0.117;0.395;260.000
4/9/2025 4:29:35 PM;TargetLandmark4_GasStation;(0.574, 0.768, 2.566);0.574;0.768;2.566;0.307;0.677;295.000
4/9/2025 4:29:35 PM;TargetLandmark5_Church;(0.699, 0.553, 2.592);0.699;0.553;2.592;0.604;0.882;275.000
4/9/2025 4:29:35 PM;TargetLandmark6_GlobalLandmark2;(0.628, 0.299, 2.589);0.628;0.299;2.589;0.869;0.849;235.000
4/9/2025 4:29:35 PM;TargetLandmark7_MusicShop;(0.872, 0.437, 2.555);0.872;0.437;2.555;0.791;0.569;280.000
4/9/2025 4:29:35 PM;TargetLandmark1_Billboard;(0.474, 0.366, 2.553);0.474;0.366;2.553;0.598;0.395;290.000
4/9/2025 4:29:35 PM;TargetLandmark2_LionStatue;(0.764, 0.316, 2.580);0.764;0.316;2.580;0.394;0.217;292.500
4/9/2025 4:29:35 PM;TargetLandmark3_GlobalLandmark1;(0.707, 0.712, 2.601);0.707;0.712;2.601;0.117;0.395;260.000
4/9/2025 4:29:35 PM;TargetLandmark4_GasStation;(0.574, 0.768, 2.566);0.574;0.768;2.566;0.307;0.677;295.000
4/9/2025 4:29:35 PM;TargetLandmark5_Church;(0.699, 0.553, 2.592);0.699;0.553;2.592;0.604;0.882;275.000
4/9/2025 4:29:35 PM;TargetLandmark6_GlobalLandmark2;(0.628, 0.299, 2.589);0.628;0.299;2.589;0.869;0.849;235.000
4/9/2025 4:29:35 PM;TargetLandmark7_MusicShop;(0.872, 0.437, 2.555);0.872;0.437;2.555;0.791;0.569;280.000
