
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/14/2025 4:49:37 PM;;
4/14/2025 4:50:56 PM;TargetLandmark1_Billboard;(0.473, 0.503, 2.546);0.473;0.503;2.546;0.598;0.395;290.000
4/14/2025 4:50:56 PM;TargetLandmark2_LionStatue;(0.379, 0.715, 2.598);0.379;0.715;2.598;0.394;0.217;292.500
4/14/2025 4:50:56 PM;TargetLandmark3_GlobalLandmark1;(0.772, 0.453, 2.568);0.772;0.453;2.568;0.117;0.395;260.000
4/14/2025 4:50:56 PM;TargetLandmark4_GasStation;(0.743, 0.328, 2.558);0.743;0.328;2.558;0.307;0.677;295.000
4/14/2025 4:50:56 PM;TargetLandmark5_Church;(0.695, 0.807, 2.570);0.695;0.807;2.570;0.604;0.882;275.000
4/14/2025 4:50:56 PM;TargetLandmark6_GlobalLandmark2;(0.730, 0.700, 2.555);0.730;0.700;2.555;0.869;0.849;235.000
4/14/2025 4:50:56 PM;TargetLandmark7_MusicShop;(0.645, 0.360, 2.503);0.645;0.360;2.503;0.791;0.569;280.000
4/14/2025 4:50:56 PM;TargetLandmark1_Billboard;(0.473, 0.503, 2.546);0.473;0.503;2.546;0.598;0.395;290.000
4/14/2025 4:50:56 PM;TargetLandmark2_LionStatue;(0.379, 0.715, 2.598);0.379;0.715;2.598;0.394;0.217;292.500
4/14/2025 4:50:56 PM;TargetLandmark3_GlobalLandmark1;(0.772, 0.453, 2.568);0.772;0.453;2.568;0.117;0.395;260.000
4/14/2025 4:50:56 PM;TargetLandmark4_GasStation;(0.743, 0.328, 2.558);0.743;0.328;2.558;0.307;0.677;295.000
4/14/2025 4:50:56 PM;TargetLandmark5_Church;(0.695, 0.807, 2.570);0.695;0.807;2.570;0.604;0.882;275.000
4/14/2025 4:50:56 PM;TargetLandmark6_GlobalLandmark2;(0.730, 0.700, 2.555);0.730;0.700;2.555;0.869;0.849;235.000
4/14/2025 4:50:56 PM;TargetLandmark7_MusicShop;(0.645, 0.360, 2.503);0.645;0.360;2.503;0.791;0.569;280.000
4/14/2025 4:50:57 PM;TargetLandmark1_Billboard;(0.473, 0.503, 2.546);0.473;0.503;2.546;0.598;0.395;290.000
4/14/2025 4:50:57 PM;TargetLandmark2_LionStatue;(0.379, 0.715, 2.598);0.379;0.715;2.598;0.394;0.217;292.500
4/14/2025 4:50:57 PM;TargetLandmark3_GlobalLandmark1;(0.772, 0.453, 2.568);0.772;0.453;2.568;0.117;0.395;260.000
4/14/2025 4:50:57 PM;TargetLandmark4_GasStation;(0.743, 0.328, 2.558);0.743;0.328;2.558;0.307;0.677;295.000
4/14/2025 4:50:57 PM;TargetLandmark5_Church;(0.695, 0.807, 2.570);0.695;0.807;2.570;0.604;0.882;275.000
4/14/2025 4:50:57 PM;TargetLandmark6_GlobalLandmark2;(0.730, 0.700, 2.555);0.730;0.700;2.555;0.869;0.849;235.000
4/14/2025 4:50:57 PM;TargetLandmark7_MusicShop;(0.645, 0.360, 2.503);0.645;0.360;2.503;0.791;0.569;280.000
