
Time;controllerPos_x;controllerPos_y;controllerPos_z;PenToggleOn
4/11/2025 2:30:36 PM;-0.9273262;1.276725;1.675865;False
4/11/2025 2:30:36 PM;-0.9275818;1.275873;1.675653;False
4/11/2025 2:30:36 PM;-0.9280772;1.275311;1.675596;False
4/11/2025 2:30:36 PM;-0.9285374;1.274715;1.675484;False
4/11/2025 2:30:36 PM;-0.9290543;1.274458;1.675518;False
4/11/2025 2:30:36 PM;-0.9296556;1.273874;1.67526;False
4/11/2025 2:30:36 PM;-0.9300356;1.273054;1.674885;False
4/11/2025 2:30:36 PM;-0.9306607;1.27251;1.674535;False
4/11/2025 2:30:36 PM;-0.9314723;1.271906;1.674469;False
4/11/2025 2:30:36 PM;-0.9321437;1.271258;1.674364;False
4/11/2025 2:30:36 PM;-0.9329066;1.27048;1.674088;False
4/11/2025 2:30:36 PM;-0.9338508;1.269707;1.673532;False
4/11/2025 2:30:36 PM;-0.9347005;1.269125;1.672873;False
4/11/2025 2:30:36 PM;-0.9358726;1.268425;1.67243;False
4/11/2025 2:30:36 PM;-0.9366274;1.267709;1.672121;False
4/11/2025 2:30:36 PM;-0.9375792;1.266918;1.671687;False
4/11/2025 2:30:36 PM;-0.9384122;1.266154;1.671523;False
4/11/2025 2:30:36 PM;-0.9391932;1.265283;1.671147;False
4/11/2025 2:30:38 PM;-1.155187;1.20803;2.123872;False
4/11/2025 2:30:38 PM;-1.155751;1.20877;2.126278;False
4/11/2025 2:30:38 PM;-1.156131;1.209259;2.128706;False
4/11/2025 2:30:38 PM;-1.156057;1.209291;2.130728;False
4/11/2025 2:30:38 PM;-1.156344;1.209437;2.132698;False
4/11/2025 2:30:38 PM;-1.156927;1.209288;2.134211;False
4/11/2025 2:30:38 PM;-1.15778;1.208782;2.135786;False
4/11/2025 2:30:38 PM;-1.158692;1.208317;2.137305;False
4/11/2025 2:30:38 PM;-1.159823;1.207393;2.138783;False
4/11/2025 2:30:38 PM;-1.160749;1.206346;2.139926;False
4/11/2025 2:30:38 PM;-1.161755;1.205546;2.141206;False
4/11/2025 2:30:38 PM;-1.162866;1.204946;2.142463;False
4/11/2025 2:30:38 PM;-1.163481;1.204291;2.143522;False
4/11/2025 2:30:38 PM;-1.16422;1.203878;2.144637;False
4/11/2025 2:30:38 PM;-1.164579;1.203541;2.14563;False
4/11/2025 2:30:38 PM;-1.164927;1.203116;2.146577;False
4/11/2025 2:30:38 PM;-1.165034;1.202596;2.147403;False
4/11/2025 2:30:38 PM;-1.165225;1.202058;2.148142;False
4/11/2025 2:30:38 PM;-1.165627;1.201603;2.148844;False
4/11/2025 2:30:38 PM;-1.16632;1.201121;2.149212;False
4/11/2025 2:30:38 PM;-1.166806;1.200625;2.149326;False
4/11/2025 2:30:38 PM;-1.167058;1.200211;2.149543;False
4/11/2025 2:30:38 PM;-1.166574;1.199589;2.149625;False
4/11/2025 2:30:38 PM;-1.166288;1.199083;2.149918;False
4/11/2025 2:30:38 PM;-1.166008;1.198695;2.14963;False
4/11/2025 2:30:38 PM;-1.165648;1.198566;2.149472;False
4/11/2025 2:30:38 PM;-1.164896;1.198612;2.149107;False
