
Timestamp,DateTime,StimulusName,StimulusInterval
63880850636868,4/21/2025 4:43:56 PM,G,2.5
63880850639378,4/21/2025 4:43:59 PM,K,2.5
63880850641888,4/21/2025 4:44:01 PM,T,2.5
63880850644389,4/21/2025 4:44:04 PM,K,2.5
63880850646900,4/21/2025 4:44:06 PM,K,2.5
63880850649410,4/21/2025 4:44:09 PM,K,2.5
63880850651912,4/21/2025 4:44:11 PM,K,2.5
63880850654422,4/21/2025 4:44:14 PM,T,2.5
63880850656932,4/21/2025 4:44:16 PM,K,2.5
63880850659436,4/21/2025 4:44:19 PM,T,2.5
63880850661943,4/21/2025 4:44:21 PM,T,2.5
63880850664446,4/21/2025 4:44:24 PM,T,2.5
63880850666947,4/21/2025 4:44:26 PM,D,2.5
63880850669449,4/21/2025 4:44:29 PM,G,2.5
63880850671954,4/21/2025 4:44:31 PM,G,2.5
63880850674464,4/21/2025 4:44:34 PM,G,2.5
63880850676977,4/21/2025 4:44:36 PM,K,2.5
63880850679478,4/21/2025 4:44:39 PM,G,2.5
63880850681986,4/21/2025 4:44:41 PM,K,2.5
63880850684499,4/21/2025 4:44:44 PM,T,2.5
63880850687000,4/21/2025 4:44:47 PM,G,2.5
63880850689511,4/21/2025 4:44:49 PM,K,2.5
63880850692024,4/21/2025 4:44:52 PM,G,2.5
63880850694531,4/21/2025 4:44:54 PM,K,2.5
63880850697031,4/21/2025 4:44:57 PM,K,2.5
63880850699542,4/21/2025 4:44:59 PM,K,2.5
63880850702053,4/21/2025 4:45:02 PM,D,2.5
63880850704562,4/21/2025 4:45:04 PM,K,2.5
63880850707067,4/21/2025 4:45:07 PM,G,2.5
63880850709578,4/21/2025 4:45:09 PM,K,2.5
63880850712083,4/21/2025 4:45:12 PM,G,2.5
63880850714593,4/21/2025 4:45:14 PM,G,2.5
63880850717095,4/21/2025 4:45:17 PM,T,2.5
63880850719609,4/21/2025 4:45:19 PM,G,2.5
63880850722117,4/21/2025 4:45:22 PM,D,2.5
63880850724621,4/21/2025 4:45:24 PM,T,2.5
63880850727129,4/21/2025 4:45:27 PM,D,2.5
63880850729635,4/21/2025 4:45:29 PM,D,2.5
63880850732139,4/21/2025 4:45:32 PM,D,2.5
63880850734639,4/21/2025 4:45:34 PM,T,2.5
63880850737150,4/21/2025 4:45:37 PM,K,2.5
63880850739658,4/21/2025 4:45:39 PM,K,2.5
63880850742160,4/21/2025 4:45:42 PM,D,2.5
63880850744671,4/21/2025 4:45:44 PM,T,2.5
63880850747178,4/21/2025 4:45:47 PM,D,2.5
63880850749680,4/21/2025 4:45:49 PM,G,2.5
63880850752190,4/21/2025 4:45:52 PM,T,2.5
63880850754701,4/21/2025 4:45:54 PM,T,2.5
63880850757206,4/21/2025 4:45:57 PM,T,2.5
63880850759712,4/21/2025 4:45:59 PM,D,2.5
63880850762217,4/21/2025 4:46:02 PM,G,2.5
63880850764723,4/21/2025 4:46:04 PM,T,2.5
63880850767227,4/21/2025 4:46:07 PM,G,2.5
63880850769732,4/21/2025 4:46:09 PM,D,2.5
63880850772236,4/21/2025 4:46:12 PM,G,2.5
63880850774738,4/21/2025 4:46:14 PM,K,2.5
63880850777247,4/21/2025 4:46:17 PM,G,2.5
63880850779748,4/21/2025 4:46:19 PM,K,2.5
63880850782259,4/21/2025 4:46:22 PM,G,2.5
63880850784770,4/21/2025 4:46:24 PM,K,2.5
63880850787281,4/21/2025 4:46:27 PM,G,2.5
63880850789781,4/21/2025 4:46:29 PM,T,2.5
63880850792283,4/21/2025 4:46:32 PM,T,2.5
63880850794791,4/21/2025 4:46:34 PM,D,2.5
63880850797292,4/21/2025 4:46:37 PM,G,2.5
63880850799792,4/21/2025 4:46:39 PM,K,2.5
63880850802297,4/21/2025 4:46:42 PM,D,2.5
63880850804805,4/21/2025 4:46:44 PM,K,2.5
63880850807305,4/21/2025 4:46:47 PM,T,2.5
63880850809810,4/21/2025 4:46:49 PM,T,2.5
63880850812313,4/21/2025 4:46:52 PM,T,2.5
63880850814813,4/21/2025 4:46:54 PM,G,2.5
63880850817315,4/21/2025 4:46:57 PM,K,2.5
63880850819818,4/21/2025 4:46:59 PM,T,2.5
63880850822326,4/21/2025 4:47:02 PM,T,2.5
63880850824834,4/21/2025 4:47:04 PM,G,2.5
63880850827342,4/21/2025 4:47:07 PM,D,2.5
63880850829846,4/21/2025 4:47:09 PM,G,2.5
63880850832356,4/21/2025 4:47:12 PM,G,2.5
63880850834865,4/21/2025 4:47:14 PM,G,2.5
63880850837376,4/21/2025 4:47:17 PM,T,2.5
63880850839887,4/21/2025 4:47:19 PM,T,2.5
63880850842398,4/21/2025 4:47:22 PM,G,2.5
63880850844905,4/21/2025 4:47:24 PM,D,2.5
63880850847409,4/21/2025 4:47:27 PM,T,2.5
63880850849925,4/21/2025 4:47:29 PM,D,2.5
63880850852427,4/21/2025 4:47:32 PM,K,2.5
63880850854931,4/21/2025 4:47:34 PM,G,2.5
63880850857441,4/21/2025 4:47:37 PM,D,2.5
63880850859941,4/21/2025 4:47:39 PM,G,2.5
63880850862445,4/21/2025 4:47:42 PM,T,2.5
63880850864953,4/21/2025 4:47:44 PM,D,2.5
63880850867462,4/21/2025 4:47:47 PM,K,2.5
63880850869972,4/21/2025 4:47:49 PM,K,2.5
63880850872474,4/21/2025 4:47:52 PM,D,2.5
63880850874983,4/21/2025 4:47:54 PM,G,2.5
63880850877494,4/21/2025 4:47:57 PM,D,2.5
63880850879999,4/21/2025 4:47:59 PM,K,2.5
63880850882504,4/21/2025 4:48:02 PM,K,2.5
63880850885014,4/21/2025 4:48:05 PM,D,2.5
63880850887517,4/21/2025 4:48:07 PM,D,2.5
63880850890021,4/21/2025 4:48:10 PM,G,2.5
63880850892538,4/21/2025 4:48:12 PM,T,2.5
63880850895039,4/21/2025 4:48:15 PM,K,2.5
63880850897539,4/21/2025 4:48:17 PM,K,2.5
63880850900049,4/21/2025 4:48:20 PM,G,2.5
63880850902559,4/21/2025 4:48:22 PM,K,2.5
63880850905066,4/21/2025 4:48:25 PM,T,2.5
63880850907571,4/21/2025 4:48:27 PM,K,2.5
63880850910072,4/21/2025 4:48:30 PM,D,2.5
63880850912573,4/21/2025 4:48:32 PM,D,2.5
63880850915083,4/21/2025 4:48:35 PM,T,2.5
63880850917590,4/21/2025 4:48:37 PM,T,2.5
63880850920101,4/21/2025 4:48:40 PM,G,2.5
63880850922609,4/21/2025 4:48:42 PM,G,2.5
63880850925110,4/21/2025 4:48:45 PM,K,2.5
