
Timestamp(ms),DateTime,Stimulus,TargetStatus,ParticipantResponse,ReactionTime(ms),ResponseClassification,CorrectResponse
Timestamp(ms),DateTime,Stimulus,TargetStatus,ParticipantResponse,ReactionTime(ms),ResponseClassification,CorrectResponse
63880922265946,4/22/2025 12:37:45 PM,D,No,No,1802.70,Correct Rejection
63880922268950,4/22/2025 12:37:48 PM,K,No,No,2299.26,Correct Rejection
63880922270215,4/22/2025 12:37:50 PM,K,Yes,Yes,1063.00,Hit
63880922273380,4/22/2025 12:37:53 PM,K,Yes,No,1721.91,Miss
63880922276381,4/22/2025 12:37:56 PM,D,No,No,2215.00,Correct Rejection
63880922279391,4/22/2025 12:37:59 PM,K,No,No,216.92,Correct Rejection
63880922282396,4/22/2025 12:38:02 PM,K,Yes,No,721.48,Miss
63880922285397,4/22/2025 12:38:05 PM,T,No,No,1211.44,Correct Rejection
63880922288408,4/22/2025 12:38:08 PM,D,No,No,1719.10,Correct Rejection
63880922291429,4/22/2025 12:38:11 PM,D,Yes,No,2222.21,Miss
63880922294430,4/22/2025 12:38:14 PM,K,No,No,212.10,Correct Rejection
63880922297440,4/22/2025 12:38:17 PM,G,No,No,721.89,Correct Rejection
63880922300441,4/22/2025 12:38:20 PM,K,No,No,1211.76,Correct Rejection
63880922303440,4/22/2025 12:38:23 PM,D,No,No,1701.05,Correct Rejection
63880922306441,4/22/2025 12:38:26 PM,K,No,No,2201.02,Correct Rejection
63880922309452,4/22/2025 12:38:29 PM,D,Yes,No,199.86,Miss
63880922312462,4/22/2025 12:38:32 PM,T,No,No,701.20,Correct Rejection
63880922315471,4/22/2025 12:38:35 PM,K,No,No,1208.89,Correct Rejection
63880922318471,4/22/2025 12:38:38 PM,G,No,No,1708.62,Correct Rejection
63880922321474,4/22/2025 12:38:41 PM,T,No,No,2201.78,Correct Rejection
63880922324484,4/22/2025 12:38:44 PM,D,No,No,210.82,Correct Rejection
63880922327493,4/22/2025 12:38:47 PM,D,Yes,No,710.02,Miss
63880922330495,4/22/2025 12:38:50 PM,D,Yes,No,1202.67,Miss
63880922333500,4/22/2025 12:38:53 PM,K,No,No,1704.16,Correct Rejection
63880922335450,4/22/2025 12:38:55 PM,K,Yes,Yes,1145.87,Hit
63880922338593,4/22/2025 12:38:58 PM,T,No,No,1786.50,Correct Rejection
63880922341603,4/22/2025 12:39:01 PM,T,Yes,No,2289.28,Miss
63880922344607,4/22/2025 12:39:04 PM,T,No,No,281.62,Correct Rejection
63880922347617,4/22/2025 12:39:07 PM,T,Yes,No,780.67,Miss
63880922350628,4/22/2025 12:39:10 PM,D,No,No,1288.73,Correct Rejection
63880922353639,4/22/2025 12:39:13 PM,G,No,No,1797.85,Correct Rejection
63880922356648,4/22/2025 12:39:16 PM,G,Yes,No,2302.58,Miss
63880922358494,4/22/2025 12:39:18 PM,G,Yes,Yes,1640.05,Hit
63880922361661,4/22/2025 12:39:21 PM,D,No,No,2306.31,Correct Rejection
