
Timestamp,DateTime,StimulusName,StimulusInterval
63880333779483,4/15/2025 5:09:39 PM,G,2.5
63880333781991,4/15/2025 5:09:41 PM,D,2.5
63880333784492,4/15/2025 5:09:44 PM,G,2.5
63880333786996,4/15/2025 5:09:46 PM,T,2.5
63880333789502,4/15/2025 5:09:49 PM,T,2.5
63880333792003,4/15/2025 5:09:52 PM,G,2.5
63880333794503,4/15/2025 5:09:54 PM,K,2.5
63880333797006,4/15/2025 5:09:57 PM,G,2.5
63880333799510,4/15/2025 5:09:59 PM,T,2.5
63880333802018,4/15/2025 5:10:02 PM,K,2.5
63880333804527,4/15/2025 5:10:04 PM,G,2.5
63880333807033,4/15/2025 5:10:07 PM,K,2.5
63880333809542,4/15/2025 5:10:09 PM,T,2.5
63880333812046,4/15/2025 5:10:12 PM,T,2.5
63880333814556,4/15/2025 5:10:14 PM,D,2.5
63880333817066,4/15/2025 5:10:17 PM,D,2.5
63880333819581,4/15/2025 5:10:19 PM,K,2.5
63880333822095,4/15/2025 5:10:22 PM,T,2.5
63880333824603,4/15/2025 5:10:24 PM,D,2.5
63880333827117,4/15/2025 5:10:27 PM,G,2.5
63880333829623,4/15/2025 5:10:29 PM,K,2.5
63880333832128,4/15/2025 5:10:32 PM,K,2.5
63880333834645,4/15/2025 5:10:34 PM,D,2.5
63880333837154,4/15/2025 5:10:37 PM,D,2.5
63880333839667,4/15/2025 5:10:39 PM,K,2.5
63880333842169,4/15/2025 5:10:42 PM,T,2.5
63880333844684,4/15/2025 5:10:44 PM,K,2.5
63880333847191,4/15/2025 5:10:47 PM,D,2.5
63880333849693,4/15/2025 5:10:49 PM,K,2.5
63880333852201,4/15/2025 5:10:52 PM,D,2.5
63880333854704,4/15/2025 5:10:54 PM,K,2.5
63880333857208,4/15/2025 5:10:57 PM,G,2.5
63880333859708,4/15/2025 5:10:59 PM,G,2.5
63880333862216,4/15/2025 5:11:02 PM,G,2.5
63880333864721,4/15/2025 5:11:04 PM,D,2.5
63880333867231,4/15/2025 5:11:07 PM,K,2.5
63880333869734,4/15/2025 5:11:09 PM,D,2.5
63880333872244,4/15/2025 5:11:12 PM,K,2.5
63880333874753,4/15/2025 5:11:14 PM,K,2.5
63880333877257,4/15/2025 5:11:17 PM,D,2.5
63880333879759,4/15/2025 5:11:19 PM,G,2.5
63880333882264,4/15/2025 5:11:22 PM,D,2.5
63880333884771,4/15/2025 5:11:24 PM,G,2.5
63880333887281,4/15/2025 5:11:27 PM,K,2.5
63880333889784,4/15/2025 5:11:29 PM,K,2.5
63880333892285,4/15/2025 5:11:32 PM,T,2.5
63880333894791,4/15/2025 5:11:34 PM,D,2.5
63880333897300,4/15/2025 5:11:37 PM,D,2.5
63880333899811,4/15/2025 5:11:39 PM,G,2.5
63880333902324,4/15/2025 5:11:42 PM,D,2.5
63880333904830,4/15/2025 5:11:44 PM,G,2.5
63880333907336,4/15/2025 5:11:47 PM,K,2.5
63880333909839,4/15/2025 5:11:49 PM,K,2.5
63880333912340,4/15/2025 5:11:52 PM,D,2.5
63880333914851,4/15/2025 5:11:54 PM,T,2.5
63880333917352,4/15/2025 5:11:57 PM,T,2.5
63880333919859,4/15/2025 5:11:59 PM,T,2.5
63880333922370,4/15/2025 5:12:02 PM,D,2.5
63880333924873,4/15/2025 5:12:04 PM,K,2.5
63880333927379,4/15/2025 5:12:07 PM,K,2.5
63880333929883,4/15/2025 5:12:09 PM,K,2.5
63880333932393,4/15/2025 5:12:12 PM,D,2.5
63880333934895,4/15/2025 5:12:14 PM,G,2.5
63880333937401,4/15/2025 5:12:17 PM,T,2.5
63880333939906,4/15/2025 5:12:19 PM,G,2.5
63880333942407,4/15/2025 5:12:22 PM,D,2.5
63880333944917,4/15/2025 5:12:24 PM,G,2.5
63880333947420,4/15/2025 5:12:27 PM,G,2.5
63880333949928,4/15/2025 5:12:29 PM,D,2.5
63880333952430,4/15/2025 5:12:32 PM,D,2.5
63880333954943,4/15/2025 5:12:34 PM,G,2.5
63880333957446,4/15/2025 5:12:37 PM,K,2.5
63880333959949,4/15/2025 5:12:39 PM,D,2.5
63880333962449,4/15/2025 5:12:42 PM,K,2.5
63880333964952,4/15/2025 5:12:44 PM,G,2.5
63880333967461,4/15/2025 5:12:47 PM,T,2.5
63880333969974,4/15/2025 5:12:49 PM,D,2.5
63880333972474,4/15/2025 5:12:52 PM,D,2.5
63880333974979,4/15/2025 5:12:54 PM,D,2.5
63880333977479,4/15/2025 5:12:57 PM,D,2.5
63880333979989,4/15/2025 5:12:59 PM,G,2.5
63880333982497,4/15/2025 5:13:02 PM,D,2.5
63880333985007,4/15/2025 5:13:05 PM,G,2.5
63880333987507,4/15/2025 5:13:07 PM,T,2.5
63880333990019,4/15/2025 5:13:10 PM,G,2.5
63880333992528,4/15/2025 5:13:12 PM,K,2.5
63880333995028,4/15/2025 5:13:15 PM,K,2.5
63880333997532,4/15/2025 5:13:17 PM,K,2.5
63880334000041,4/15/2025 5:13:20 PM,K,2.5
63880334002551,4/15/2025 5:13:22 PM,K,2.5
63880334005053,4/15/2025 5:13:25 PM,K,2.5
63880334007565,4/15/2025 5:13:27 PM,D,2.5
63880334010073,4/15/2025 5:13:30 PM,D,2.5
63880334012585,4/15/2025 5:13:32 PM,T,2.5
63880334015096,4/15/2025 5:13:35 PM,D,2.5
63880334017604,4/15/2025 5:13:37 PM,K,2.5
63880334020105,4/15/2025 5:13:40 PM,K,2.5
63880334022611,4/15/2025 5:13:42 PM,G,2.5
63880334025120,4/15/2025 5:13:45 PM,G,2.5
63880334027621,4/15/2025 5:13:47 PM,T,2.5
