
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/15/2025 5:37:02 PM;;
4/15/2025 5:38:29 PM;TargetLandmark1_Billboard;(0.479, 0.814, 2.108);0.479;0.814;2.108;0.598;0.395;290.000
4/15/2025 5:38:29 PM;TargetLandmark2_LionStatue;(0.533, 0.455, 2.154);0.533;0.455;2.154;0.394;0.217;292.500
4/15/2025 5:38:29 PM;TargetLandmark3_GlobalLandmark1;(0.296, 0.447, 2.306);0.296;0.447;2.306;0.117;0.395;260.000
4/15/2025 5:38:29 PM;TargetLandmark4_GasStation;(0.658, 0.588, 2.014);0.658;0.588;2.014;0.307;0.677;295.000
4/15/2025 5:38:29 PM;TargetLandmark5_Church;(0.396, 0.573, 2.252);0.396;0.573;2.252;0.604;0.882;275.000
4/15/2025 5:38:29 PM;TargetLandmark6_GlobalLandmark2;(0.569, 0.651, 2.236);0.569;0.651;2.236;0.869;0.849;235.000
4/15/2025 5:38:29 PM;TargetLandmark7_MusicShop;(0.337, 0.744, 2.205);0.337;0.744;2.205;0.791;0.569;280.000
4/15/2025 5:38:30 PM;TargetLandmark1_Billboard;(0.479, 0.814, 2.108);0.479;0.814;2.108;0.598;0.395;290.000
4/15/2025 5:38:30 PM;TargetLandmark2_LionStatue;(0.533, 0.455, 2.154);0.533;0.455;2.154;0.394;0.217;292.500
4/15/2025 5:38:30 PM;TargetLandmark3_GlobalLandmark1;(0.296, 0.447, 2.306);0.296;0.447;2.306;0.117;0.395;260.000
4/15/2025 5:38:30 PM;TargetLandmark4_GasStation;(0.658, 0.588, 2.014);0.658;0.588;2.014;0.307;0.677;295.000
4/15/2025 5:38:30 PM;TargetLandmark5_Church;(0.396, 0.573, 2.252);0.396;0.573;2.252;0.604;0.882;275.000
4/15/2025 5:38:30 PM;TargetLandmark6_GlobalLandmark2;(0.569, 0.651, 2.236);0.569;0.651;2.236;0.869;0.849;235.000
4/15/2025 5:38:30 PM;TargetLandmark7_MusicShop;(0.337, 0.744, 2.205);0.337;0.744;2.205;0.791;0.569;280.000
