
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/11/2025 10:39:01 AM;;
4/11/2025 10:39:05 AM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/11/2025 10:39:05 AM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/11/2025 10:39:05 AM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/11/2025 10:39:05 AM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/11/2025 10:39:05 AM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/11/2025 10:39:05 AM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/11/2025 10:39:05 AM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/11/2025 10:44:20 AM;TargetLandmark1_Billboard;(0.344, 0.460, 2.335);0.344;0.460;2.335;0.598;0.395;290.000
4/11/2025 10:44:20 AM;TargetLandmark2_LionStatue;(0.712, 0.600, 2.335);0.712;0.600;2.335;0.394;0.217;292.500
4/11/2025 10:44:20 AM;TargetLandmark3_GlobalLandmark1;(0.782, 0.791, 2.326);0.782;0.791;2.326;0.117;0.395;260.000
4/11/2025 10:44:20 AM;TargetLandmark4_GasStation;(0.472, 0.583, 2.384);0.472;0.583;2.384;0.307;0.677;295.000
4/11/2025 10:44:20 AM;TargetLandmark5_Church;(0.136, 0.547, 2.335);0.136;0.547;2.335;0.604;0.882;275.000
4/11/2025 10:44:20 AM;TargetLandmark6_GlobalLandmark2;(0.420, 0.694, 2.318);0.420;0.694;2.318;0.869;0.849;235.000
4/11/2025 10:44:20 AM;TargetLandmark7_MusicShop;(0.600, 0.677, 2.342);0.600;0.677;2.342;0.791;0.569;280.000
4/11/2025 10:44:21 AM;TargetLandmark1_Billboard;(0.344, 0.460, 2.335);0.344;0.460;2.335;0.598;0.395;290.000
4/11/2025 10:44:21 AM;TargetLandmark2_LionStatue;(0.712, 0.600, 2.335);0.712;0.600;2.335;0.394;0.217;292.500
4/11/2025 10:44:21 AM;TargetLandmark3_GlobalLandmark1;(0.782, 0.791, 2.326);0.782;0.791;2.326;0.117;0.395;260.000
4/11/2025 10:44:21 AM;TargetLandmark4_GasStation;(0.472, 0.583, 2.384);0.472;0.583;2.384;0.307;0.677;295.000
4/11/2025 10:44:21 AM;TargetLandmark5_Church;(0.136, 0.547, 2.335);0.136;0.547;2.335;0.604;0.882;275.000
4/11/2025 10:44:21 AM;TargetLandmark6_GlobalLandmark2;(0.420, 0.694, 2.318);0.420;0.694;2.318;0.869;0.849;235.000
4/11/2025 10:44:21 AM;TargetLandmark7_MusicShop;(0.600, 0.677, 2.342);0.600;0.677;2.342;0.791;0.569;280.000
