Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;GazeHitDistance;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;HoldingObjectName;HoldingObjectPosition
;4/9/2025 3:34:32 PM;2069815;1000054847560806321;63879809672795;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(0.022, -0.067, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.084, -0.095, 0.992);(-0.035, 0.000, 0.000);0.490;6.082;12.401;VALID;(-0.058, -0.037, 0.998);(0.035, 0.000, 0.000);0.485;6.148;12.672;0.422034;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069816;1000054847565807669;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(0.009, -0.064, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.070, -0.095, 0.993);(-0.035, 0.000, 0.000);0.486;6.022;12.401;VALID;(-0.073, -0.031, 0.997);(0.035, 0.000, 0.000);0.485;6.142;12.672;0.4078332;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069817;1000054847570809013;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.002, -0.062, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.060, -0.096, 0.994);(-0.035, 0.000, 0.000);0.484;5.997;12.401;VALID;(-0.083, -0.027, 0.996);(0.035, 0.000, 0.000);0.484;6.130;12.672;0.3968451;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069818;1000054847575810325;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.010, -0.061, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.053, -0.096, 0.994);(-0.035, 0.000, 0.000);0.483;5.991;12.401;VALID;(-0.090, -0.025, 0.996);(0.035, 0.000, 0.000);0.482;6.105;12.672;0.3908607;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069819;1000054847580811641;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.015, -0.060, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.049, -0.095, 0.994);(-0.035, 0.000, 0.000);0.483;5.992;12.401;VALID;(-0.095, -0.023, 0.995);(0.035, 0.000, 0.000);0.481;6.097;12.672;0.3871619;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069820;1000054847585812947;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.019, -0.058, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.047, -0.094, 0.994);(-0.035, 0.000, 0.000);0.484;6.003;12.401;VALID;(-0.098, -0.021, 0.995);(0.035, 0.000, 0.000);0.481;6.095;12.672;0.3833513;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069821;1000054847590814261;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.023, -0.056, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.045, -0.092, 0.995);(-0.035, 0.000, 0.000);0.487;6.044;12.401;VALID;(-0.100, -0.019, 0.995);(0.035, 0.000, 0.000);0.481;6.095;12.672;0.3837851;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069822;1000054847595815580;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.025, -0.053, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.044, -0.087, 0.995);(-0.035, 0.000, 0.000);0.490;6.082;12.401;VALID;(-0.102, -0.018, 0.995);(0.035, 0.000, 0.000);0.480;6.076;12.672;0.3905166;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069823;1000054847600817137;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.027, -0.050, 0.998);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.043, -0.083, 0.996);(-0.035, 0.000, 0.000);0.492;6.097;12.401;VALID;(-0.104, -0.017, 0.994);(0.035, 0.000, 0.000);0.479;6.066;12.672;0.3961405;0;None;(0.000, 0.000, 0.000)
;4/9/2025 3:34:32 PM;2069824;1000054847605818431;63879809672796;(0.437, 1.548, 1.826);(0.073, 0.011, -0.007, 0.997);(0.437, 1.548, 1.826);(0.022, -0.145, 0.989);VALID;(-0.028, -0.047, 0.999);(0.000, 0.000, 0.000);(0.084, -0.206, 0.975);(0.437, 1.548, 1.826);MapBoard;(0.497, 1.401, 2.532);0.714;70.350;VALID;(0.043, -0.077, 0.996);(-0.035, 0.000, 0.000);0.495;6.135;12.401;VALID;(-0.105, -0.015, 0.994);(0.035, 0.000, 0.000);0.478;6.061;12.672;0.4030599;0;None;(0.000, 0.000, 0.000)
