
Timestamp,DateTime,StimulusName,StimulusInterval
63879798628134,4/9/2025 12:30:28 PM,K,2.5
63879798630644,4/9/2025 12:30:30 PM,D,2.5
63879798633153,4/9/2025 12:30:33 PM,K,2.5
63879798635654,4/9/2025 12:30:35 PM,G,2.5
63879798638154,4/9/2025 12:30:38 PM,T,2.5
63879798640665,4/9/2025 12:30:40 PM,G,2.5
63879798643167,4/9/2025 12:30:43 PM,G,2.5
63879798645677,4/9/2025 12:30:45 PM,D,2.5
63879798648183,4/9/2025 12:30:48 PM,K,2.5
63879798650686,4/9/2025 12:30:50 PM,G,2.5
63879798653188,4/9/2025 12:30:53 PM,G,2.5
63879798655699,4/9/2025 12:30:55 PM,D,2.5
63879798658199,4/9/2025 12:30:58 PM,G,2.5
63879798660709,4/9/2025 12:31:00 PM,K,2.5
63879798663211,4/9/2025 12:31:03 PM,G,2.5
63879798665722,4/9/2025 12:31:05 PM,D,2.5
63879798668235,4/9/2025 12:31:08 PM,T,2.5
63879798670742,4/9/2025 12:31:10 PM,D,2.5
63879798673242,4/9/2025 12:31:13 PM,T,2.5
63879798675749,4/9/2025 12:31:15 PM,D,2.5
63879798678261,4/9/2025 12:31:18 PM,T,2.5
63879798680769,4/9/2025 12:31:20 PM,T,2.5
63879798683279,4/9/2025 12:31:23 PM,K,2.5
63879798685790,4/9/2025 12:31:25 PM,K,2.5
63879798688295,4/9/2025 12:31:28 PM,D,2.5
63879798690799,4/9/2025 12:31:30 PM,K,2.5
63879798693311,4/9/2025 12:31:33 PM,G,2.5
63879798695821,4/9/2025 12:31:35 PM,G,2.5
63879798698331,4/9/2025 12:31:38 PM,G,2.5
63879798700832,4/9/2025 12:31:40 PM,G,2.5
63879798703333,4/9/2025 12:31:43 PM,D,2.5
63879798705843,4/9/2025 12:31:45 PM,G,2.5
63879798708344,4/9/2025 12:31:48 PM,K,2.5
63879798710854,4/9/2025 12:31:50 PM,D,2.5
63879798713356,4/9/2025 12:31:53 PM,T,2.5
63879798715865,4/9/2025 12:31:55 PM,D,2.5
63879798718365,4/9/2025 12:31:58 PM,T,2.5
63879798720877,4/9/2025 12:32:00 PM,G,2.5
63879798723377,4/9/2025 12:32:03 PM,T,2.5
63879798725885,4/9/2025 12:32:05 PM,K,2.5
63879798728391,4/9/2025 12:32:08 PM,T,2.5
63879798730897,4/9/2025 12:32:10 PM,T,2.5
63879798733402,4/9/2025 12:32:13 PM,D,2.5
63879798735902,4/9/2025 12:32:15 PM,K,2.5
63879798738410,4/9/2025 12:32:18 PM,T,2.5
63879798740913,4/9/2025 12:32:20 PM,D,2.5
63879798743411,4/9/2025 12:32:23 PM,G,2.5
63879798745920,4/9/2025 12:32:25 PM,D,2.5
63879798748421,4/9/2025 12:32:28 PM,D,2.5
63879798750931,4/9/2025 12:32:30 PM,G,2.5
63879798753445,4/9/2025 12:32:33 PM,T,2.5
63879798755952,4/9/2025 12:32:35 PM,K,2.5
63879798758453,4/9/2025 12:32:38 PM,D,2.5
63879798760965,4/9/2025 12:32:40 PM,K,2.5
63879798763475,4/9/2025 12:32:43 PM,G,2.5
63879798765975,4/9/2025 12:32:45 PM,D,2.5
63879798768477,4/9/2025 12:32:48 PM,K,2.5
63879798770986,4/9/2025 12:32:50 PM,G,2.5
63879798773487,4/9/2025 12:32:53 PM,G,2.5
63879798775997,4/9/2025 12:32:55 PM,D,2.5
63879798778498,4/9/2025 12:32:58 PM,K,2.5
63879798781000,4/9/2025 12:33:01 PM,T,2.5
63879798783510,4/9/2025 12:33:03 PM,D,2.5
63879798786021,4/9/2025 12:33:06 PM,T,2.5
63879798788521,4/9/2025 12:33:08 PM,K,2.5
63879798791032,4/9/2025 12:33:11 PM,T,2.5
63879798793543,4/9/2025 12:33:13 PM,D,2.5
63879798796043,4/9/2025 12:33:16 PM,K,2.5
63879798798553,4/9/2025 12:33:18 PM,G,2.5
63879798801065,4/9/2025 12:33:21 PM,G,2.5
