
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/9/2025 12:40:10 PM;;
4/9/2025 12:40:13 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/9/2025 12:40:13 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/9/2025 12:40:13 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/9/2025 12:40:13 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/9/2025 12:40:13 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/9/2025 12:40:13 PM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/9/2025 12:40:13 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/9/2025 12:42:27 PM;;
4/9/2025 12:42:34 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/9/2025 12:42:34 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/9/2025 12:42:34 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/9/2025 12:42:34 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/9/2025 12:42:34 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/9/2025 12:42:34 PM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/9/2025 12:42:34 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/9/2025 12:44:46 PM;TargetLandmark1_Billboard;(0.242, 0.450, 2.601);0.242;0.450;2.601;0.598;0.395;290.000
4/9/2025 12:44:46 PM;TargetLandmark2_LionStatue;(0.250, 0.611, 2.580);0.250;0.611;2.580;0.394;0.217;292.500
4/9/2025 12:44:46 PM;TargetLandmark3_GlobalLandmark1;(0.280, 0.772, 2.590);0.280;0.772;2.590;0.117;0.395;260.000
4/9/2025 12:44:46 PM;TargetLandmark4_GasStation;(0.537, 0.897, 2.575);0.537;0.897;2.575;0.307;0.677;295.000
4/9/2025 12:44:46 PM;TargetLandmark5_Church;(0.743, 0.690, 2.546);0.743;0.690;2.546;0.604;0.882;275.000
4/9/2025 12:44:46 PM;TargetLandmark6_GlobalLandmark2;(0.766, 0.425, 2.551);0.766;0.425;2.551;0.869;0.849;235.000
4/9/2025 12:44:46 PM;TargetLandmark7_MusicShop;(0.390, 0.365, 2.538);0.390;0.365;2.538;0.791;0.569;280.000
