
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/7/2025 4:49:06 PM;;
4/7/2025 4:49:22 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/7/2025 4:49:22 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/7/2025 4:49:22 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/7/2025 4:49:22 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/7/2025 4:49:22 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/7/2025 4:49:22 PM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/7/2025 4:49:22 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/7/2025 4:51:20 PM;TargetLandmark1_Billboard;(0.744, 0.280, 2.508);0.744;0.280;2.508;0.598;0.395;290.000
4/7/2025 4:51:20 PM;TargetLandmark2_LionStatue;(0.427, 0.572, 2.532);0.427;0.572;2.532;0.394;0.217;292.500
4/7/2025 4:51:20 PM;TargetLandmark3_GlobalLandmark1;(0.766, 0.464, 2.503);0.766;0.464;2.503;0.117;0.395;260.000
4/7/2025 4:51:20 PM;TargetLandmark4_GasStation;(0.381, 0.222, 2.503);0.381;0.222;2.503;0.307;0.677;295.000
4/7/2025 4:51:20 PM;TargetLandmark5_Church;(0.380, 0.397, 2.483);0.380;0.397;2.483;0.604;0.882;275.000
4/7/2025 4:51:20 PM;TargetLandmark6_GlobalLandmark2;(0.561, 0.221, 2.515);0.561;0.221;2.515;0.869;0.849;235.000
4/7/2025 4:51:20 PM;TargetLandmark7_MusicShop;(0.640, 0.596, 2.534);0.640;0.596;2.534;0.791;0.569;280.000
