
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/15/2025 1:45:37 PM;;
4/15/2025 1:47:42 PM;TargetLandmark1_Billboard;(0.602, 0.315, 2.556);0.602;0.315;2.556;0.598;0.395;290.000
4/15/2025 1:47:42 PM;TargetLandmark2_LionStatue;(0.210, 0.400, 2.593);0.210;0.400;2.593;0.394;0.217;292.500
4/15/2025 1:47:42 PM;TargetLandmark3_GlobalLandmark1;(0.149, 0.782, 2.579);0.149;0.782;2.579;0.117;0.395;260.000
4/15/2025 1:47:42 PM;TargetLandmark4_GasStation;(0.367, 0.718, 2.569);0.367;0.718;2.569;0.307;0.677;295.000
4/15/2025 1:47:42 PM;TargetLandmark5_Church;(0.596, 0.828, 2.597);0.596;0.828;2.597;0.604;0.882;275.000
4/15/2025 1:47:42 PM;TargetLandmark6_GlobalLandmark2;(0.832, 0.681, 2.586);0.832;0.681;2.586;0.869;0.849;235.000
4/15/2025 1:47:42 PM;TargetLandmark7_MusicShop;(0.757, 0.520, 2.589);0.757;0.520;2.589;0.791;0.569;280.000
4/15/2025 1:47:47 PM;TargetLandmark1_Billboard;(0.602, 0.315, 2.556);0.602;0.315;2.556;0.598;0.395;290.000
4/15/2025 1:47:47 PM;TargetLandmark2_LionStatue;(0.210, 0.400, 2.593);0.210;0.400;2.593;0.394;0.217;292.500
4/15/2025 1:47:47 PM;TargetLandmark3_GlobalLandmark1;(0.149, 0.782, 2.579);0.149;0.782;2.579;0.117;0.395;260.000
4/15/2025 1:47:47 PM;TargetLandmark4_GasStation;(0.367, 0.718, 2.569);0.367;0.718;2.569;0.307;0.677;295.000
4/15/2025 1:47:47 PM;TargetLandmark5_Church;(0.596, 0.828, 2.597);0.596;0.828;2.597;0.604;0.882;275.000
4/15/2025 1:47:47 PM;TargetLandmark6_GlobalLandmark2;(0.832, 0.681, 2.586);0.832;0.681;2.586;0.869;0.849;235.000
4/15/2025 1:47:47 PM;TargetLandmark7_MusicShop;(0.757, 0.520, 2.589);0.757;0.520;2.589;0.791;0.569;280.000
