
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/14/2025 1:02:57 PM;;
4/14/2025 1:04:41 PM;TargetLandmark1_Billboard;(0.634, 0.562, 2.277);0.634;0.562;2.277;0.598;0.395;290.000
4/14/2025 1:04:41 PM;TargetLandmark2_LionStatue;(0.223, 0.595, 2.240);0.223;0.595;2.240;0.394;0.217;292.500
4/14/2025 1:04:41 PM;TargetLandmark3_GlobalLandmark1;(0.311, 0.784, 2.232);0.311;0.784;2.232;0.117;0.395;260.000
4/14/2025 1:04:41 PM;TargetLandmark4_GasStation;(0.508, 0.754, 2.293);0.508;0.754;2.293;0.307;0.677;295.000
4/14/2025 1:04:41 PM;TargetLandmark5_Church;(0.768, 0.495, 2.286);0.768;0.495;2.286;0.604;0.882;275.000
4/14/2025 1:04:41 PM;TargetLandmark6_GlobalLandmark2;(0.899, 0.490, 2.303);0.899;0.490;2.303;0.869;0.849;235.000
4/14/2025 1:04:41 PM;TargetLandmark7_MusicShop;(0.120, 0.595, 2.231);0.120;0.595;2.231;0.791;0.569;280.000
