
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/3/2025 4:29:13 PM;;
4/3/2025 4:29:17 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/3/2025 4:29:17 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/3/2025 4:29:17 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/3/2025 4:29:17 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/3/2025 4:29:17 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/3/2025 4:29:17 PM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/3/2025 4:29:17 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/3/2025 4:32:49 PM;TargetLandmark1_Billboard;(0.223, 0.753, 2.494);0.223;0.753;2.494;0.598;0.395;290.000
4/3/2025 4:32:49 PM;TargetLandmark2_LionStatue;(0.515, 0.752, 2.573);0.515;0.752;2.573;0.394;0.217;292.500
4/3/2025 4:32:49 PM;TargetLandmark3_GlobalLandmark1;(0.566, 0.379, 2.530);0.566;0.379;2.530;0.117;0.395;260.000
4/3/2025 4:32:49 PM;TargetLandmark4_GasStation;(0.367, 0.625, 2.504);0.367;0.625;2.504;0.307;0.677;295.000
4/3/2025 4:32:49 PM;TargetLandmark5_Church;(0.400, 0.459, 2.558);0.400;0.459;2.558;0.604;0.882;275.000
4/3/2025 4:32:49 PM;TargetLandmark6_GlobalLandmark2;(0.716, 0.626, 2.598);0.716;0.626;2.598;0.869;0.849;235.000
4/3/2025 4:32:49 PM;TargetLandmark7_MusicShop;(0.835, 0.406, 2.582);0.835;0.406;2.582;0.791;0.569;280.000
