
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/7/2025 4:13:02 PM;;
4/7/2025 4:15:44 PM;TargetLandmark1_Billboard;(0.528, 0.788, 2.273);0.528;0.788;2.273;0.598;0.395;290.000
4/7/2025 4:15:44 PM;TargetLandmark2_LionStatue;(0.598, 0.257, 2.444);0.598;0.257;2.444;0.394;0.217;292.500
4/7/2025 4:15:44 PM;TargetLandmark3_GlobalLandmark1;(0.715, 0.390, 2.380);0.715;0.390;2.380;0.117;0.395;260.000
4/7/2025 4:15:44 PM;TargetLandmark4_GasStation;(0.848, 0.526, 2.344);0.848;0.526;2.344;0.307;0.677;295.000
4/7/2025 4:15:44 PM;TargetLandmark5_Church;(0.807, 0.714, 2.321);0.807;0.714;2.321;0.604;0.882;275.000
4/7/2025 4:15:44 PM;TargetLandmark6_GlobalLandmark2;(0.737, 0.832, 2.272);0.737;0.832;2.272;0.869;0.849;235.000
4/7/2025 4:15:44 PM;TargetLandmark7_MusicShop;(0.544, 0.562, 2.438);0.544;0.562;2.438;0.791;0.569;280.000
4/7/2025 4:15:46 PM;TargetLandmark1_Billboard;(0.528, 0.788, 2.273);0.528;0.788;2.273;0.598;0.395;290.000
4/7/2025 4:15:46 PM;TargetLandmark2_LionStatue;(0.598, 0.257, 2.444);0.598;0.257;2.444;0.394;0.217;292.500
4/7/2025 4:15:46 PM;TargetLandmark3_GlobalLandmark1;(0.715, 0.390, 2.380);0.715;0.390;2.380;0.117;0.395;260.000
4/7/2025 4:15:46 PM;TargetLandmark4_GasStation;(0.848, 0.526, 2.344);0.848;0.526;2.344;0.307;0.677;295.000
4/7/2025 4:15:46 PM;TargetLandmark5_Church;(0.807, 0.714, 2.321);0.807;0.714;2.321;0.604;0.882;275.000
4/7/2025 4:15:46 PM;TargetLandmark6_GlobalLandmark2;(0.737, 0.832, 2.272);0.737;0.832;2.272;0.869;0.849;235.000
4/7/2025 4:15:46 PM;TargetLandmark7_MusicShop;(0.544, 0.562, 2.438);0.544;0.562;2.438;0.791;0.569;280.000
