
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/17/2025 2:23:28 PM;;
4/17/2025 2:27:02 PM;TargetLandmark1_Billboard;(0.530, 0.652, 2.562);0.530;0.652;2.562;0.598;0.395;290.000
4/17/2025 2:27:02 PM;TargetLandmark2_LionStatue;(0.515, 0.347, 2.478);0.515;0.347;2.478;0.394;0.217;292.500
4/17/2025 2:27:02 PM;TargetLandmark3_GlobalLandmark1;(0.407, 0.820, 2.553);0.407;0.820;2.553;0.117;0.395;260.000
4/17/2025 2:27:02 PM;TargetLandmark4_GasStation;(0.292, 0.811, 2.507);0.292;0.811;2.507;0.307;0.677;295.000
4/17/2025 2:27:02 PM;TargetLandmark5_Church;(0.687, 0.826, 2.590);0.687;0.826;2.590;0.604;0.882;275.000
4/17/2025 2:27:02 PM;TargetLandmark6_GlobalLandmark2;(0.291, 0.670, 2.544);0.291;0.670;2.544;0.869;0.849;235.000
4/17/2025 2:27:02 PM;TargetLandmark7_MusicShop;(0.719, 0.557, 2.617);0.719;0.557;2.617;0.791;0.569;280.000
