
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/7/2025 6:24:10 PM;;
4/7/2025 6:24:14 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/7/2025 6:24:14 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/7/2025 6:24:14 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/7/2025 6:24:14 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/7/2025 6:24:14 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/7/2025 6:24:14 PM;TargetLandmark6_GlobalLandmark2;(-0.096, 0.740, 2.263);-0.096;0.740;2.263;0.869;0.849;235.000
4/7/2025 6:24:14 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/7/2025 6:29:00 PM;TargetLandmark1_Billboard;(0.546, 0.366, 2.412);0.546;0.366;2.412;0.598;0.395;290.000
4/7/2025 6:29:00 PM;TargetLandmark2_LionStatue;(0.380, 0.506, 2.391);0.380;0.506;2.391;0.394;0.217;292.500
4/7/2025 6:29:00 PM;TargetLandmark3_GlobalLandmark1;(0.551, 0.630, 2.484);0.551;0.630;2.484;0.117;0.395;260.000
4/7/2025 6:29:00 PM;TargetLandmark4_GasStation;(0.710, 0.515, 2.408);0.710;0.515;2.408;0.307;0.677;295.000
4/7/2025 6:29:00 PM;TargetLandmark5_Church;(0.904, 0.483, 2.540);0.904;0.483;2.540;0.604;0.882;275.000
4/7/2025 6:29:00 PM;TargetLandmark6_GlobalLandmark2;(0.905, 0.311, 2.467);0.905;0.311;2.467;0.869;0.849;235.000
4/7/2025 6:29:00 PM;TargetLandmark7_MusicShop;(0.734, 0.745, 2.430);0.734;0.745;2.430;0.791;0.569;280.000
4/7/2025 6:29:02 PM;TargetLandmark1_Billboard;(0.546, 0.366, 2.412);0.546;0.366;2.412;0.598;0.395;290.000
4/7/2025 6:29:02 PM;TargetLandmark2_LionStatue;(0.380, 0.506, 2.391);0.380;0.506;2.391;0.394;0.217;292.500
4/7/2025 6:29:02 PM;TargetLandmark3_GlobalLandmark1;(0.551, 0.630, 2.484);0.551;0.630;2.484;0.117;0.395;260.000
4/7/2025 6:29:02 PM;TargetLandmark4_GasStation;(0.710, 0.515, 2.408);0.710;0.515;2.408;0.307;0.677;295.000
4/7/2025 6:29:02 PM;TargetLandmark5_Church;(0.904, 0.483, 2.540);0.904;0.483;2.540;0.604;0.882;275.000
4/7/2025 6:29:02 PM;TargetLandmark6_GlobalLandmark2;(0.905, 0.311, 2.467);0.905;0.311;2.467;0.869;0.849;235.000
4/7/2025 6:29:02 PM;TargetLandmark7_MusicShop;(0.734, 0.745, 2.430);0.734;0.745;2.430;0.791;0.569;280.000
