
Timestamp,DateTime,StimulusName,StimulusInterval
63879896782664,4/10/2025 3:46:22 PM,T,2.5
63879896785162,4/10/2025 3:46:25 PM,T,2.5
63879896787673,4/10/2025 3:46:27 PM,K,2.5
63879896790174,4/10/2025 3:46:30 PM,T,2.5
63879896792682,4/10/2025 3:46:32 PM,G,2.5
63879896795185,4/10/2025 3:46:35 PM,D,2.5
63879896797697,4/10/2025 3:46:37 PM,K,2.5
63879896800214,4/10/2025 3:46:40 PM,T,2.5
63879896802718,4/10/2025 3:46:42 PM,K,2.5
63879896805239,4/10/2025 3:46:45 PM,T,2.5
63879896807741,4/10/2025 3:46:47 PM,G,2.5
63879896810241,4/10/2025 3:46:50 PM,D,2.5
63879896812753,4/10/2025 3:46:52 PM,T,2.5
63879896815263,4/10/2025 3:46:55 PM,K,2.5
63879896817767,4/10/2025 3:46:57 PM,K,2.5
63879896820273,4/10/2025 3:47:00 PM,G,2.5
63879896822780,4/10/2025 3:47:02 PM,K,2.5
63879896825290,4/10/2025 3:47:05 PM,T,2.5
63879896827794,4/10/2025 3:47:07 PM,K,2.5
63879896830299,4/10/2025 3:47:10 PM,D,2.5
63879896832808,4/10/2025 3:47:12 PM,T,2.5
63879896835311,4/10/2025 3:47:15 PM,G,2.5
63879896837816,4/10/2025 3:47:17 PM,D,2.5
63879896840327,4/10/2025 3:47:20 PM,T,2.5
63879896842830,4/10/2025 3:47:22 PM,G,2.5
63879896845341,4/10/2025 3:47:25 PM,D,2.5
63879896847854,4/10/2025 3:47:27 PM,G,2.5
63879896850363,4/10/2025 3:47:30 PM,D,2.5
63879896852871,4/10/2025 3:47:32 PM,T,2.5
63879896855374,4/10/2025 3:47:35 PM,K,2.5
63879896857886,4/10/2025 3:47:37 PM,G,2.5
63879896860391,4/10/2025 3:47:40 PM,G,2.5
63879896862890,4/10/2025 3:47:42 PM,T,2.5
63879896865398,4/10/2025 3:47:45 PM,K,2.5
63879896867899,4/10/2025 3:47:47 PM,T,2.5
63879896870406,4/10/2025 3:47:50 PM,G,2.5
63879896872915,4/10/2025 3:47:52 PM,T,2.5
63879896875419,4/10/2025 3:47:55 PM,T,2.5
63879896877921,4/10/2025 3:47:57 PM,K,2.5
63879896880429,4/10/2025 3:48:00 PM,T,2.5
63879896882938,4/10/2025 3:48:02 PM,K,2.5
63879896885451,4/10/2025 3:48:05 PM,T,2.5
63879896887950,4/10/2025 3:48:07 PM,T,2.5
63879896890451,4/10/2025 3:48:10 PM,K,2.5
63879896892951,4/10/2025 3:48:12 PM,D,2.5
63879896895461,4/10/2025 3:48:15 PM,D,2.5
63879896897961,4/10/2025 3:48:17 PM,G,2.5
63879896900472,4/10/2025 3:48:20 PM,G,2.5
63879896902973,4/10/2025 3:48:22 PM,T,2.5
63879896905481,4/10/2025 3:48:25 PM,T,2.5
63879896907986,4/10/2025 3:48:27 PM,D,2.5
63879896910492,4/10/2025 3:48:30 PM,K,2.5
63879896913000,4/10/2025 3:48:33 PM,G,2.5
63879896915511,4/10/2025 3:48:35 PM,T,2.5
63879896918012,4/10/2025 3:48:38 PM,T,2.5
63879896920519,4/10/2025 3:48:40 PM,D,2.5
63879896923029,4/10/2025 3:48:43 PM,D,2.5
63879896925532,4/10/2025 3:48:45 PM,D,2.5
63879896928038,4/10/2025 3:48:48 PM,K,2.5
63879896930541,4/10/2025 3:48:50 PM,G,2.5
63879896933050,4/10/2025 3:48:53 PM,D,2.5
63879896935556,4/10/2025 3:48:55 PM,G,2.5
63879896938061,4/10/2025 3:48:58 PM,D,2.5
63879896940562,4/10/2025 3:49:00 PM,T,2.5
63879896943073,4/10/2025 3:49:03 PM,K,2.5
63879896945582,4/10/2025 3:49:05 PM,G,2.5
63879896948084,4/10/2025 3:49:08 PM,K,2.5
63879896950585,4/10/2025 3:49:10 PM,T,2.5
63879896953095,4/10/2025 3:49:13 PM,K,2.5
63879896955610,4/10/2025 3:49:15 PM,T,2.5
63879896958117,4/10/2025 3:49:18 PM,K,2.5
63879896960617,4/10/2025 3:49:20 PM,K,2.5
63879896963128,4/10/2025 3:49:23 PM,T,2.5
63879896965639,4/10/2025 3:49:25 PM,G,2.5
63879896968141,4/10/2025 3:49:28 PM,T,2.5
63879896970649,4/10/2025 3:49:30 PM,K,2.5
63879896973152,4/10/2025 3:49:33 PM,K,2.5
63879896975653,4/10/2025 3:49:35 PM,D,2.5
63879896978154,4/10/2025 3:49:38 PM,K,2.5
63879896980662,4/10/2025 3:49:40 PM,K,2.5
63879896983172,4/10/2025 3:49:43 PM,T,2.5
63879896985682,4/10/2025 3:49:45 PM,K,2.5
63879896988184,4/10/2025 3:49:48 PM,T,2.5
63879896990694,4/10/2025 3:49:50 PM,G,2.5
63879896993195,4/10/2025 3:49:53 PM,D,2.5
63879896995705,4/10/2025 3:49:55 PM,T,2.5
63879896998205,4/10/2025 3:49:58 PM,D,2.5
63879897000716,4/10/2025 3:50:00 PM,T,2.5
63879897003216,4/10/2025 3:50:03 PM,K,2.5
63879897005727,4/10/2025 3:50:05 PM,D,2.5
63879897008232,4/10/2025 3:50:08 PM,K,2.5
63879897010739,4/10/2025 3:50:10 PM,D,2.5
63879897013249,4/10/2025 3:50:13 PM,K,2.5
63879897015751,4/10/2025 3:50:15 PM,D,2.5
63879897018251,4/10/2025 3:50:18 PM,D,2.5
63879897020751,4/10/2025 3:50:20 PM,K,2.5
63879897023262,4/10/2025 3:50:23 PM,G,2.5
63879897025762,4/10/2025 3:50:25 PM,G,2.5
63879897028272,4/10/2025 3:50:28 PM,G,2.5
