Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;GazeHitDistance;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;ReferenceLandmark;DisplayLandmark;GroundTruthDirection;GazeAngleDeviation
20;4/2/2025 2:13:42 PM;157917;1000156577771337143;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.505, 0.177, 0.845);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.508, 0.183, 0.842);(-0.030, 0.000, 0.000);0.281;3.553;12.631;VALID;(-0.495, 0.135, 0.858);(0.030, 0.000, 0.000);0.247;3.101;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157918;1000156577776340244;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.504, 0.178, 0.845);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.507, 0.183, 0.842);(-0.030, 0.000, 0.000);0.280;3.538;12.631;VALID;(-0.495, 0.136, 0.858);(0.030, 0.000, 0.000);0.244;3.067;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157919;1000156577781343331;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.502, 0.177, 0.847);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.504, 0.182, 0.844);(-0.030, 0.000, 0.000);0.291;3.677;12.631;VALID;(-0.493, 0.135, 0.860);(0.030, 0.000, 0.000);0.254;3.185;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157920;1000156577786346396;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.497, 0.175, 0.850);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.500, 0.180, 0.847);(-0.030, 0.000, 0.000);0.291;3.670;12.631;VALID;(-0.481, 0.134, 0.867);(0.030, 0.000, 0.000);0.261;3.275;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157921;1000156577791349459;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.479, 0.176, 0.860);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.484, 0.181, 0.856);(-0.030, 0.000, 0.000);0.303;3.832;12.631;VALID;(-0.461, 0.134, 0.877);(0.030, 0.000, 0.000);0.262;3.292;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157922;1000156577796352536;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.451, 0.171, 0.876);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.458, 0.179, 0.871);(-0.030, 0.000, 0.000);0.297;3.749;12.631;VALID;(-0.432, 0.130, 0.893);(0.030, 0.000, 0.000);0.263;3.302;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157923;1000156577801355584;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.420, 0.155, 0.894);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.430, 0.168, 0.887);(-0.030, 0.000, 0.000);0.291;3.681;12.631;VALID;(-0.400, 0.117, 0.909);(0.030, 0.000, 0.000);0.263;3.304;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157924;1000156577806358670;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.393, 0.127, 0.911);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.401, 0.146, 0.904);(-0.030, 0.000, 0.000);0.292;3.685;12.631;VALID;(-0.378, 0.096, 0.921);(0.030, 0.000, 0.000);0.262;3.293;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157925;1000156577811361683;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.362, 0.100, 0.927);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.370, 0.121, 0.921);(-0.030, 0.000, 0.000);0.295;3.724;12.631;VALID;(-0.349, 0.074, 0.934);(0.030, 0.000, 0.000);0.262;3.290;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
20;4/2/2025 2:13:42 PM;157926;1000156577816364687;63879200022796;(-0.230, 1.464, 1.276);(0.127, 0.389, 0.036, 0.912);(655.275, 1.964, 489.915);(0.718, -0.204, 0.665);VALID;(-0.339, 0.068, 0.938);(0.000, 0.000, 0.000);(0.647, -0.521, 0.557);(655.275, 1.964, 489.915);Street_5_6;(657.686, 0.021, 492.000);3.727;61.050;VALID;(-0.344, 0.090, 0.935);(-0.030, 0.000, 0.000);0.294;3.716;12.631;VALID;(-0.332, 0.046, 0.942);(0.030, 0.000, 0.000);0.266;3.333;12.546;2;0;TargetLandmark6_GlobalLandmark2;TargetLandmark3_GlobalLandmark1;(-0.876, 0.000, -0.475);146.505
