
63879199783936,4/2/2025 2:09:43 PM,G,2.5
63879199786446,4/2/2025 2:09:46 PM,T,2.5
63879199788947,4/2/2025 2:09:48 PM,D,2.5
63879199791452,4/2/2025 2:09:51 PM,K,2.5
63879199793965,4/2/2025 2:09:53 PM,T,2.5
63879199796486,4/2/2025 2:09:56 PM,D,2.5
63879199798989,4/2/2025 2:09:58 PM,T,2.5
63879199801496,4/2/2025 2:10:01 PM,G,2.5
63879199804002,4/2/2025 2:10:04 PM,G,2.5
63879199806507,4/2/2025 2:10:06 PM,D,2.5
63879199809018,4/2/2025 2:10:09 PM,G,2.5
63879199811520,4/2/2025 2:10:11 PM,G,2.5
63879199814025,4/2/2025 2:10:14 PM,K,2.5
63879199816525,4/2/2025 2:10:16 PM,T,2.5
63879199819035,4/2/2025 2:10:19 PM,G,2.5
63879199821547,4/2/2025 2:10:21 PM,K,2.5
63879199824049,4/2/2025 2:10:24 PM,G,2.5
63879199826570,4/2/2025 2:10:26 PM,D,2.5
63879199829075,4/2/2025 2:10:29 PM,K,2.5
63879199831578,4/2/2025 2:10:31 PM,G,2.5
63879199834094,4/2/2025 2:10:34 PM,K,2.5
63879199836601,4/2/2025 2:10:36 PM,K,2.5
63879199839102,4/2/2025 2:10:39 PM,K,2.5
63879199841604,4/2/2025 2:10:41 PM,T,2.5
63879199844104,4/2/2025 2:10:44 PM,K,2.5
63879199846607,4/2/2025 2:10:46 PM,G,2.5
63879199849111,4/2/2025 2:10:49 PM,K,2.5
63879199851616,4/2/2025 2:10:51 PM,G,2.5
63879199854118,4/2/2025 2:10:54 PM,G,2.5
63879199856625,4/2/2025 2:10:56 PM,G,2.5
63879199859131,4/2/2025 2:10:59 PM,T,2.5
63879199861646,4/2/2025 2:11:01 PM,T,2.5
63879199864153,4/2/2025 2:11:04 PM,T,2.5
63879199866660,4/2/2025 2:11:06 PM,K,2.5
63879199869168,4/2/2025 2:11:09 PM,T,2.5
63879200325207,4/2/2025 2:18:45 PM,T,2.5
63879200327714,4/2/2025 2:18:47 PM,D,2.5
63879200330221,4/2/2025 2:18:50 PM,D,2.5
63879200332730,4/2/2025 2:18:52 PM,T,2.5
63879200335233,4/2/2025 2:18:55 PM,G,2.5
63879200337734,4/2/2025 2:18:57 PM,G,2.5
63879200340235,4/2/2025 2:19:00 PM,T,2.5
63879200342736,4/2/2025 2:19:02 PM,K,2.5
63879200345244,4/2/2025 2:19:05 PM,G,2.5
63879200347745,4/2/2025 2:19:07 PM,K,2.5
63879200350258,4/2/2025 2:19:10 PM,D,2.5
63879200352767,4/2/2025 2:19:12 PM,K,2.5
63879200355269,4/2/2025 2:19:15 PM,K,2.5
63879200357779,4/2/2025 2:19:17 PM,G,2.5
63879200360279,4/2/2025 2:19:20 PM,D,2.5
63879200362781,4/2/2025 2:19:22 PM,K,2.5
63879200365283,4/2/2025 2:19:25 PM,D,2.5
63879200367789,4/2/2025 2:19:27 PM,G,2.5
63879200370301,4/2/2025 2:19:30 PM,G,2.5
63879200372812,4/2/2025 2:19:32 PM,T,2.5
63879200375324,4/2/2025 2:19:35 PM,T,2.5
63879200377830,4/2/2025 2:19:37 PM,D,2.5
63879200380333,4/2/2025 2:19:40 PM,T,2.5
63879200382838,4/2/2025 2:19:42 PM,K,2.5
63879200385351,4/2/2025 2:19:45 PM,G,2.5
63879200387851,4/2/2025 2:19:47 PM,G,2.5
63879200390356,4/2/2025 2:19:50 PM,K,2.5
63879200392859,4/2/2025 2:19:52 PM,D,2.5
63879200395369,4/2/2025 2:19:55 PM,D,2.5
63879200397880,4/2/2025 2:19:57 PM,G,2.5
63879200400390,4/2/2025 2:20:00 PM,G,2.5
63879200402891,4/2/2025 2:20:02 PM,D,2.5
63879200405402,4/2/2025 2:20:05 PM,T,2.5
63879200407902,4/2/2025 2:20:07 PM,D,2.5
63879200410405,4/2/2025 2:20:10 PM,T,2.5
63879200412916,4/2/2025 2:20:12 PM,K,2.5
63879200415420,4/2/2025 2:20:15 PM,T,2.5
63879200417925,4/2/2025 2:20:17 PM,T,2.5
63879200420432,4/2/2025 2:20:20 PM,G,2.5
63879200422934,4/2/2025 2:20:22 PM,K,2.5
63879200425448,4/2/2025 2:20:25 PM,K,2.5
63879200427955,4/2/2025 2:20:27 PM,G,2.5
63879200430460,4/2/2025 2:20:30 PM,G,2.5
63879200432963,4/2/2025 2:20:32 PM,G,2.5
63879200435468,4/2/2025 2:20:35 PM,K,2.5
63879200437979,4/2/2025 2:20:37 PM,D,2.5
63879200440482,4/2/2025 2:20:40 PM,D,2.5
63879200442993,4/2/2025 2:20:42 PM,G,2.5
63879200445503,4/2/2025 2:20:45 PM,T,2.5
63879200448016,4/2/2025 2:20:48 PM,K,2.5
63879200450515,4/2/2025 2:20:50 PM,T,2.5
63879200453027,4/2/2025 2:20:53 PM,G,2.5
63879200455537,4/2/2025 2:20:55 PM,G,2.5
63879200458047,4/2/2025 2:20:58 PM,G,2.5
63879200460547,4/2/2025 2:21:00 PM,D,2.5
63879200463047,4/2/2025 2:21:03 PM,K,2.5
63879200465559,4/2/2025 2:21:05 PM,K,2.5
63879200468059,4/2/2025 2:21:08 PM,T,2.5
63879200470560,4/2/2025 2:21:10 PM,G,2.5
63879200473073,4/2/2025 2:21:13 PM,G,2.5
63879200475580,4/2/2025 2:21:15 PM,K,2.5
63879200478080,4/2/2025 2:21:18 PM,D,2.5
63879200480581,4/2/2025 2:21:20 PM,K,2.5
63879200483092,4/2/2025 2:21:23 PM,G,2.5
63879200485592,4/2/2025 2:21:25 PM,D,2.5
63879200488093,4/2/2025 2:21:28 PM,G,2.5
63879200490595,4/2/2025 2:21:30 PM,T,2.5
63879200493103,4/2/2025 2:21:33 PM,K,2.5
63879200495605,4/2/2025 2:21:35 PM,K,2.5
63879200498115,4/2/2025 2:21:38 PM,G,2.5
63879200500627,4/2/2025 2:21:40 PM,D,2.5
63879200503138,4/2/2025 2:21:43 PM,K,2.5
63879200505639,4/2/2025 2:21:45 PM,G,2.5
63879200508147,4/2/2025 2:21:48 PM,K,2.5
63879200510647,4/2/2025 2:21:50 PM,D,2.5
63879200513158,4/2/2025 2:21:53 PM,K,2.5
63879200515660,4/2/2025 2:21:55 PM,G,2.5
63879200518170,4/2/2025 2:21:58 PM,D,2.5
63879200520670,4/2/2025 2:22:00 PM,T,2.5
63879200523181,4/2/2025 2:22:03 PM,G,2.5
63879200525681,4/2/2025 2:22:05 PM,T,2.5
63879200528193,4/2/2025 2:22:08 PM,K,2.5
63879200530703,4/2/2025 2:22:10 PM,D,2.5
63879200533203,4/2/2025 2:22:13 PM,D,2.5
63879200535703,4/2/2025 2:22:15 PM,D,2.5
63879200538204,4/2/2025 2:22:18 PM,K,2.5
63879200540704,4/2/2025 2:22:20 PM,D,2.5
63879200543207,4/2/2025 2:22:23 PM,K,2.5
63879200545715,4/2/2025 2:22:25 PM,K,2.5
63879200548225,4/2/2025 2:22:28 PM,T,2.5
63879200550736,4/2/2025 2:22:30 PM,G,2.5
63879200553243,4/2/2025 2:22:33 PM,D,2.5
63879200555749,4/2/2025 2:22:35 PM,K,2.5
63879200558256,4/2/2025 2:22:38 PM,K,2.5
63879200560764,4/2/2025 2:22:40 PM,K,2.5
63879200563273,4/2/2025 2:22:43 PM,G,2.5
63879200565785,4/2/2025 2:22:45 PM,G,2.5
63879200568298,4/2/2025 2:22:48 PM,G,2.5
63879200583436,4/2/2025 2:23:03 PM,G,2.5
63879200585939,4/2/2025 2:23:05 PM,T,2.5
63879200588439,4/2/2025 2:23:08 PM,D,2.5
63879200591025,4/2/2025 2:23:11 PM,K,2.5
63879200593527,4/2/2025 2:23:13 PM,G,2.5
63879200596036,4/2/2025 2:23:16 PM,G,2.5
63879200598539,4/2/2025 2:23:18 PM,K,2.5
63879200601049,4/2/2025 2:23:21 PM,K,2.5
63879200603559,4/2/2025 2:23:23 PM,T,2.5
63879200606061,4/2/2025 2:23:26 PM,G,2.5
63879200608566,4/2/2025 2:23:28 PM,D,2.5
63879200611073,4/2/2025 2:23:31 PM,G,2.5
63879200613578,4/2/2025 2:23:33 PM,G,2.5
63879200616088,4/2/2025 2:23:36 PM,K,2.5
63879200618591,4/2/2025 2:23:38 PM,T,2.5
63879200621093,4/2/2025 2:23:41 PM,G,2.5
63879200623602,4/2/2025 2:23:43 PM,K,2.5
63879200626105,4/2/2025 2:23:46 PM,K,2.5
63879200628610,4/2/2025 2:23:48 PM,D,2.5
